"from","to","rho","p","q","edge_sign"
"ASV_32","ASV_55",1,0,0,"Positive"
"ASV_32","ASV_103",1,0,0,"Positive"
"ASV_55","ASV_103",1,0,0,"Positive"
"ASV_32","ASV_106",1,0,0,"Positive"
"ASV_55","ASV_106",1,0,0,"Positive"
"ASV_103","ASV_106",1,0,0,"Positive"
"ASV_32","ASV_107",1,0,0,"Positive"
"ASV_55","ASV_107",1,0,0,"Positive"
"ASV_103","ASV_107",1,0,0,"Positive"
"ASV_106","ASV_107",1,0,0,"Positive"
"ASV_50","ASV_109",0.661547183446446,0.00031679072533275,0.00809882376068073,"Positive"
"ASV_23","ASV_111",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_50","ASV_116",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_32","ASV_137",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_55","ASV_137",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_103","ASV_137",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_106","ASV_137",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_107","ASV_137",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_109","ASV_137",0.661547183446446,0.00031679072533275,0.00809882376068073,"Positive"
"ASV_32","ASV_149",1,0,0,"Positive"
"ASV_55","ASV_149",1,0,0,"Positive"
"ASV_103","ASV_149",1,0,0,"Positive"
"ASV_106","ASV_149",1,0,0,"Positive"
"ASV_107","ASV_149",1,0,0,"Positive"
"ASV_137","ASV_149",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_152","ASV_187",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_32","ASV_201",1,0,0,"Positive"
"ASV_55","ASV_201",1,0,0,"Positive"
"ASV_103","ASV_201",1,0,0,"Positive"
"ASV_106","ASV_201",1,0,0,"Positive"
"ASV_107","ASV_201",1,0,0,"Positive"
"ASV_137","ASV_201",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_149","ASV_201",1,0,0,"Positive"
"ASV_116","ASV_218",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_81","ASV_226",1,0,0,"Positive"
"ASV_32","ASV_234",1,0,0,"Positive"
"ASV_55","ASV_234",1,0,0,"Positive"
"ASV_103","ASV_234",1,0,0,"Positive"
"ASV_106","ASV_234",1,0,0,"Positive"
"ASV_107","ASV_234",1,0,0,"Positive"
"ASV_137","ASV_234",0.721687836487032,4.66433315420289e-05,0.00130601328317681,"Positive"
"ASV_149","ASV_234",1,0,0,"Positive"
"ASV_201","ASV_234",1,0,0,"Positive"
"ASV_56","ASV_253",0.723534717138373,4.36443331821579e-05,0.00130601328317681,"Positive"
"ASV_89","ASV_253",0.618214716525935,0.00098918639265233,0.0242350666199821,"Positive"
"ASV_152","ASV_253",0.60156611048452,0.00146781685202546,0.0352276044486111,"Positive"
"ASV_166","ASV_309",0.632302447807362,0.000695976084424732,0.0174142101124146,"Positive"
"ASV_111","ASV_322",0.661547183446446,0.00031679072533275,0.00809882376068073,"Positive"
"ASV_114","ASV_398",0.661547183446446,0.00031679072533275,0.00809882376068073,"Positive"
