"name","Kingdom","Phylum","Class","Order","Family","Genus","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_103","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium",0.00387096774193548,8,0,0.307692307692308,1
"ASV_106","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",0.00150537634408602,8,0,0.307692307692308,1
"ASV_107","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00301075268817204,8,0,0.307692307692308,1
"ASV_109","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",0.0001040763226366,2,27,0.0769230769230769,2
"ASV_111","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",0.00112716254544541,2,1,0.0769230769230769,3
"ASV_114","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cedecea",0.00124946401764991,1,0,0.0384615384615385,4
"ASV_116","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",0.00135593220338983,2,11,0.0769230769230769,2
"ASV_137","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",0.00435665724757295,9,32,0.346153846153846,1
"ASV_149","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",0.00150537634408602,8,0,0.307692307692308,1
"ASV_152","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",0.000194850382741823,2,3,0.0769230769230769,5
"ASV_166","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,0.00129220939655725,1,0,0.0384615384615385,6
"ASV_187","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",0.000820306095394792,1,0,0.0384615384615385,5
"ASV_201","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",0.00387096774193548,8,0,0.307692307692308,1
"ASV_218","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.00196352615216515,1,0,0.0384615384615385,2
"ASV_226","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.000516129032258065,1,0,0.0384615384615385,7
"ASV_23","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,0.000220994475138122,1,0,0.0384615384615385,3
"ASV_234","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",0.00236559139784946,8,0,0.307692307692308,1
"ASV_253","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum",0.0015223325048635,3,5,0.115384615384615,5
"ASV_309","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella",0.000716579010980247,1,0,0.0384615384615385,6
"ASV_32","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium",0.0113978494623656,8,0,0.307692307692308,1
"ASV_322","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum",3.99423055586375e-05,1,0,0.0384615384615385,3
"ASV_398","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,0.000253565768621236,1,0,0.0384615384615385,4
"ASV_50","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,0.00444544078086642,2,20,0.0769230769230769,2
"ASV_55","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",0.00301075268817204,8,0,0.307692307692308,1
"ASV_56","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0186802040917801,1,0,0.0384615384615385,5
"ASV_81","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",0.000688172043010753,1,0,0.0384615384615385,7
"ASV_89","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae",NA,0.00745905042256855,1,0,0.0384615384615385,5
