"from","to","rho","p","q","edge_sign"
"ASV_36","ASV_64",1,0,0,"Positive"
"ASV_36","ASV_100",1,0,0,"Positive"
"ASV_64","ASV_100",1,0,0,"Positive"
"ASV_109","ASV_116",0.730263157894737,0.000872629780241496,0.0159645720305571,"Positive"
"ASV_123","ASV_124",1,0,0,"Positive"
"ASV_36","ASV_126",1,0,0,"Positive"
"ASV_64","ASV_126",1,0,0,"Positive"
"ASV_100","ASV_126",1,0,0,"Positive"
"ASV_33","ASV_166",0.702260207406844,0.00167193073530303,0.0291707915133134,"Positive"
"ASV_116","ASV_190",0.776315789473684,0.000248137731474252,0.00557679037177725,"Positive"
"ASV_162","ASV_190",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_36","ASV_226",1,0,0,"Positive"
"ASV_64","ASV_226",1,0,0,"Positive"
"ASV_100","ASV_226",1,0,0,"Positive"
"ASV_126","ASV_226",1,0,0,"Positive"
"ASV_36","ASV_228",1,0,0,"Positive"
"ASV_64","ASV_228",1,0,0,"Positive"
"ASV_100","ASV_228",1,0,0,"Positive"
"ASV_126","ASV_228",1,0,0,"Positive"
"ASV_226","ASV_228",1,0,0,"Positive"
"ASV_130","ASV_230",1,0,0,"Positive"
"ASV_127","ASV_235",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_130","ASV_248",1,0,0,"Positive"
"ASV_230","ASV_248",1,0,0,"Positive"
"ASV_123","ASV_249",1,0,0,"Positive"
"ASV_124","ASV_249",1,0,0,"Positive"
"ASV_130","ASV_281",1,0,0,"Positive"
"ASV_230","ASV_281",1,0,0,"Positive"
"ASV_248","ASV_281",1,0,0,"Positive"
"ASV_162","ASV_299",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_36","ASV_309",1,0,0,"Positive"
"ASV_64","ASV_309",1,0,0,"Positive"
"ASV_100","ASV_309",1,0,0,"Positive"
"ASV_126","ASV_309",1,0,0,"Positive"
"ASV_226","ASV_309",1,0,0,"Positive"
"ASV_228","ASV_309",1,0,0,"Positive"
"ASV_162","ASV_337",1,0,0,"Positive"
"ASV_190","ASV_337",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_299","ASV_337",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_97","ASV_338",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_197","ASV_338",0.842105263157895,2.23325664894247e-05,0.000519526020438196,"Positive"
"ASV_36","ASV_369",1,0,0,"Positive"
"ASV_64","ASV_369",1,0,0,"Positive"
"ASV_100","ASV_369",1,0,0,"Positive"
"ASV_126","ASV_369",1,0,0,"Positive"
"ASV_226","ASV_369",1,0,0,"Positive"
"ASV_228","ASV_369",1,0,0,"Positive"
"ASV_309","ASV_369",1,0,0,"Positive"
"ASV_36","ASV_396",1,0,0,"Positive"
"ASV_64","ASV_396",1,0,0,"Positive"
"ASV_100","ASV_396",1,0,0,"Positive"
"ASV_126","ASV_396",1,0,0,"Positive"
"ASV_226","ASV_396",1,0,0,"Positive"
"ASV_228","ASV_396",1,0,0,"Positive"
"ASV_309","ASV_396",1,0,0,"Positive"
"ASV_369","ASV_396",1,0,0,"Positive"
"ASV_130","ASV_410",1,0,0,"Positive"
"ASV_230","ASV_410",1,0,0,"Positive"
"ASV_248","ASV_410",1,0,0,"Positive"
"ASV_281","ASV_410",1,0,0,"Positive"
"ASV_116","ASV_480",0.776315789473684,0.000248137731474252,0.00557679037177725,"Positive"
"ASV_162","ASV_480",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_190","ASV_480",1,0,0,"Positive"
"ASV_337","ASV_480",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_471","ASV_496",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_130","ASV_513",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_230","ASV_513",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_248","ASV_513",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_281","ASV_513",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_410","ASV_513",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
"ASV_130","ASV_567",1,0,0,"Positive"
"ASV_230","ASV_567",1,0,0,"Positive"
"ASV_248","ASV_567",1,0,0,"Positive"
"ASV_281","ASV_567",1,0,0,"Positive"
"ASV_410","ASV_567",1,0,0,"Positive"
"ASV_513","ASV_567",0.728868986855662,0.000902973531140105,0.0159645720305571,"Positive"
