"name","Kingdom","Phylum","Class","Order","Family","Genus","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_358","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,0.00192007731172222,9,303,0.12,9
"ASV_74","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00548445924180258,9,303,0.12,9
"ASV_232","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans",0.012304647060405,8,161.571428571429,0.106666666666667,8
"ASV_281","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",0.00563767898444535,8,48.3058608058608,0.106666666666667,8
"ASV_206","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",0.00745339934396861,7,13.0655677655678,0.0933333333333333,8
"ASV_256","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",0.00636068183103247,7,13.0655677655678,0.0933333333333333,8
"ASV_301","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Fibrella",0.000296700688345597,7,210.166666666667,0.0933333333333333,9
"ASV_303","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Belnapia",0.00434781178142712,7,80.9516483516483,0.0933333333333333,8
"ASV_32","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium",0.000148350344172798,7,210.166666666667,0.0933333333333333,9
"ASV_351","Bacteria","Actinobacteriota",NA,NA,NA,NA,0.00500583739752707,7,50.7179487179487,0.0933333333333333,10
"ASV_410","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",0.00218623120759704,7,13.0655677655678,0.0933333333333333,8
"ASV_71","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00109779254687871,7,210.166666666667,0.0933333333333333,9
"ASV_116","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",0.00202922077922078,6,177,0.08,5
"ASV_137","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",0.00292242666034288,6,308.533333333333,0.08,10
"ASV_234","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",0.00253652597402597,6,177,0.08,5
"ASV_320","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",0.00523582069196709,6,2.72307692307692,0.08,8
"ASV_369","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter",0.00113732380477199,6,632.666666666667,0.08,9
"ASV_480","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales",NA,NA,0.000101461038961039,6,177,0.08,5
"ASV_567","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales",NA,NA,0.00226613911571046,5,58,0.0666666666666667,9
"ASV_88","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,0.00146280615030615,5,96,0.0666666666666667,5
"ASV_224","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.00133555443557109,4,429,0.0533333333333333,5
"ASV_228","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella",0.00253781364455644,4,97,0.0533333333333333,6
"ASV_233","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.0016490063706648,4,153,0.0533333333333333,6
"ASV_295","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,0.00431431087116413,4,141.051282051282,0.0533333333333333,10
"ASV_302","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma",0.0016324564455268,4,153,0.0533333333333333,6
"ASV_396","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum",0.000484525467869905,4,409,0.0533333333333333,6
"ASV_413","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",NA,0.00254290370275438,4,49,0.0533333333333333,10
"ASV_106","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",0.0123039313491135,3,3,0.04,2
"ASV_114","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cedecea",0.00643807950440728,3,97,0.04,6
"ASV_150","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,0.00291708581525814,3,0,0.04,9
"ASV_17","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",0.000412473189242699,3,1,0.04,2
"ASV_187","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",0.00356088992446107,3,141,0.04,6
"ASV_209","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",0.0022528491916247,3,145.1,0.04,10
"ASV_248","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",0.00400401575035153,3,0,0.04,10
"ASV_51","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",0.00280481768685036,3,1,0.04,2
"ASV_513","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,0.000149521531100478,3,24.074358974359,0.04,10
"ASV_55","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",0.000448564593301435,3,24.074358974359,0.04,10
"ASV_578","Bacteria","Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA,0.000741772946541415,3,257.466666666667,0.04,8
"ASV_85","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00251789027299231,3,145.1,0.04,10
"ASV_97","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,0.0100390387852417,3,10.5,0.04,9
"ASV_100","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00910138813156501,2,2,0.0266666666666667,1
"ASV_111","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",0.00163800163800164,2,0,0.0266666666666667,5
"ASV_130","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Friedmanniella",0.0373500731552201,2,0,0.0266666666666667,8
"ASV_133","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",0.0267044644388372,2,0,0.0266666666666667,8
"ASV_136","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma",0.00956956973895159,2,0,0.0266666666666667,9
"ASV_197","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella",0.0179838310509817,2,0,0.0266666666666667,2
"ASV_340","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",0.00136500136500137,2,0,0.0266666666666667,5
"ASV_397","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",0.00218657168181282,2,276.466666666667,0.0266666666666667,8
"ASV_95","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,0.00854418369670499,2,2,0.0266666666666667,1
"ASV_108","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter",0.0402115806683773,1,0,0.0133333333333333,3
"ASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.0618884581999861,1,0,0.0133333333333333,4
"ASV_123","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.0182625633220976,1,0,0.0133333333333333,3
"ASV_126","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma",0.0158019999619218,1,0,0.0133333333333333,6
"ASV_127","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,0.00191387559808612,1,0,0.0133333333333333,7
"ASV_165","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Herbiconiux",0.00706335392460873,1,0,0.0133333333333333,11
"ASV_18","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0.000239234449760766,1,0,0.0133333333333333,7
"ASV_183","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",0.00535116272314808,1,0,0.0133333333333333,10
"ASV_190","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Plantibacter",0.00604659463102656,1,0,0.0133333333333333,11
"ASV_211","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,0.00343732820054089,1,0,0.0133333333333333,1
"ASV_226","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.00174599872759215,1,0,0.0133333333333333,12
"ASV_23","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,0.0131287814867806,1,0,0.0133333333333333,13
