"ASV","KS_LFC","KS_p","KS_padj","SD_LFC","SD_p","SD_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_3",1.37461381208244,1.28487026432517e-09,1.00574327586833e-08,2.49819740274183,4.44908002274191e-30,5.88390833007618e-28,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__tassiana"
"ASV_4",0.185120544243194,0.444321297130642,0.596810263009798,0.586829286552265,0.0275452349844298,0.0899470944861936,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__dendrobii"
"ASV_6",0.273208423517841,0.448837617464552,0.599330230379137,2.80797510616773,2.1487046303849e-37,1.13666474947361e-34,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__tassiana"
"ASV_14",0.334100712440211,0.554132093574245,0.676279490544912,1.08598506401326,0.03800779951715,0.114892148254699,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__"
"ASV_16",3.75954616875576,0.000428682217513056,0.00151960981685937,0.0191575383034214,0.951108257983933,0.978009044388611,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__petersiae"
"ASV_22",7.02288761769782,8.98712667699039e-18,1.63206220454146e-16,2.13538719237016,0.41509917152294,0.697103053129002,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__"
"ASV_25",0.507026064166627,0.796574885024871,0.867254191370004,0.879792519835808,0.00121509842033338,0.00738259001977272,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"ASV_33",1.89486660959513,0.000363109010416799,0.00132350791442836,6.39742619203488,0.0323274691065582,0.101190716907511,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__","s__"
"ASV_42",8.0980977134748,0.00650968308744171,0.017283018255547,5.08709124780817,3.92744122952999e-16,2.30846267824596e-14,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces","s__puniceus"
"ASV_46",3.38955010605287,0.00478936977964207,0.013258377316814,2.4395385627849,0.00127757252804913,0.00750928741486653,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Pyrenophora","s__tritici-repentis"
"ASV_52",4.78810108342556,2.23775788740306e-21,4.61791854945905e-20,2.00197998952681,0.401711716435133,0.68772005823361,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraophiobolus","s__arundinis"
