"from","to","rho","p","q","edge_sign"
"ASV_23","ASV_28",-0.657968469294047,0.000191358684103582,0.00871347196894458,"Negative"
"ASV_3","ASV_33",0.616550245031371,0.000615299032519001,0.0272012150176321,"Positive"
"ASV_35","ASV_36",0.652151639344262,0.000227836393568381,0.0103523044281977,"Positive"
"ASV_47","ASV_48",0.614681428039249,0.00064612054658042,0.0284416522682978,"Positive"
"ASV_37","ASV_49",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_25","ASV_57",0.616664271355505,0.000613460673911659,0.0271249522358802,"Positive"
"ASV_29","ASV_60",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_49","ASV_60",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_6","ASV_61",-0.616545089251384,0.000615382268575715,0.0272012150176321,"Negative"
"ASV_48","ASV_64",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_57","ASV_64",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_8","ASV_75",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_65","ASV_75",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_19","ASV_76",0.626408225946918,0.000473009393750612,0.0212030334730934,"Positive"
"ASV_59","ASV_81",0.671758178668325,0.000124640607513715,0.00699625213424714,"Positive"
"ASV_40","ASV_90",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_14","ASV_91",0.699464136766922,4.90866207640828e-05,0.00336658700563509,"Positive"
"ASV_65","ASV_94",0.732629469939241,1.39156190015477e-05,0.00156051363512379,"Positive"
"ASV_41","ASV_97",0.792517133742832,8.33880536621479e-07,0.000107651211957044,"Positive"
"ASV_8","ASV_98",0.671758178668325,0.000124640607513715,0.00699625213424714,"Positive"
"ASV_65","ASV_98",0.706541773680277,3.8048701537452e-05,0.00262650072680959,"Positive"
"ASV_65","ASV_100",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_81","ASV_100",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_8","ASV_104",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_31","ASV_104",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_84","ASV_104",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_8","ASV_109",0.671758178668325,0.000124640607513715,0.00699625213424714,"Positive"
"ASV_35","ASV_110",0.8002304995806,5.43241576611564e-07,7.10936547391713e-05,"Positive"
"ASV_62","ASV_110",0.706541773680277,3.8048701537452e-05,0.00262650072680959,"Positive"
"ASV_75","ASV_110",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_65","ASV_111",0.702193824303783,4.45318073913903e-05,0.00305723135512934,"Positive"
"ASV_32","ASV_117",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_24","ASV_118",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_32","ASV_118",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_65","ASV_122",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_81","ASV_122",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_100","ASV_122",1,0,0,"Positive"
"ASV_8","ASV_127",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_65","ASV_127",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_75","ASV_127",1,0,0,"Positive"
"ASV_110","ASV_127",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_24","ASV_134",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_36","ASV_137",0.832239719563824,7.36862437733521e-08,9.94947876598897e-06,"Positive"
"ASV_54","ASV_137",0.624019968958515,0.000504535981971088,0.0225942526365653,"Positive"
"ASV_75","ASV_137",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_98","ASV_137",0.734803444627488,1.27308589377151e-05,0.00156051363512379,"Positive"
"ASV_127","ASV_137",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_109","ASV_139",0.66372193859885,0.000160439103384036,0.00731037362659643,"Positive"
"ASV_8","ASV_145",0.702193824303783,4.45318073913903e-05,0.00305723135512934,"Positive"
"ASV_109","ASV_145",0.749201277955272,6.90666770575277e-06,0.000867321820626643,"Positive"
"ASV_142","ASV_145",0.615582541802673,0.000631094925250153,0.0278779148089246,"Positive"
