"name","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_1000","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,2.7812388750445e-06,28,2658.0986103763,0.0414201183431953,1
"ASV_1002","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA,4.08093699033502e-05,14,1319.62625599907,0.0207100591715976,2
"ASV_1003","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,9.53960976575866e-05,21,1270.1070761143,0.0310650887573964,3
"ASV_1008","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","convolvuli",2.2101004842192e-05,5,635.362947719934,0.00739644970414201,4
"ASV_1009","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Udeniomyces","pyricola",1.39061943752225e-05,28,2658.0986103763,0.0414201183431953,1
"ASV_1010","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Arrhenia",NA,5.82913321337665e-05,2,0,0.0029585798816568,1
"ASV_1011","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Sigarispora","coronillae",1.05885093496538e-05,22,1277.69179974997,0.0325443786982249,5
"ASV_1013","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","proliferata",2.80686176168263e-05,5,1563.15510490699,0.00739644970414201,6
"ASV_1014","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,9.73311790699033e-06,14,731.598922901372,0.0207100591715976,7
"ASV_1015","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum",9.9219605332961e-06,21,520.051181848597,0.0310650887573964,7
"ASV_1016","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris",NA,9.83614597983825e-05,19,2455.75591496011,0.0281065088757396,1
"ASV_1017","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces",NA,5.73089306535217e-05,3,1257.25431898078,0.00443786982248521,8
"ASV_102","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Davidiellomyces","australiensis",0.000144749610990493,3,919.295107567656,0.00443786982248521,2
