"ASV","KS_LFC","KS_p","KS_padj","SD_LFC","SD_p","SD_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Category"
"ASV_2",-1.30582751754009,3.71685982924071e-15,5.62484787491761e-14,1.35086458703423,4.36728111334381e-11,1.2159430047152e-09,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__","Other"
"ASV_3",1.37461381208244,1.28487026432517e-09,1.00574327586833e-08,2.49819740274183,4.44908002274191e-30,5.88390833007618e-28,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__tassiana","Conserved Early"
"ASV_4",0.185120544243194,0.444321297130642,0.596810263009798,0.586829286552265,0.0275452349844298,0.0899470944861936,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__dendrobii","Early in both"
"ASV_6",0.273208423517841,0.448837617464552,0.599330230379137,2.80797510616773,2.1487046303849e-37,1.13666474947361e-34,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Mycosphaerella","s__tassiana","Early in both"
"ASV_7",-1.43177765371456,4.68761379822971e-15,6.86508601418158e-14,-1.36388823770566,3.50417318283769e-12,1.09041624336538e-10,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__","Conserved Regular"
"ASV_9",-8.95074085413291,1.88806088980731e-24,5.35737277482823e-23,-10.1241495366015,3.60167661732523e-35,9.52643465282523e-33,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__hordei","Conserved Regular"
"ASV_10",-2.50162737064227,3.15180934000102e-05,0.000138924411685482,1.66791358664848,2.91947508894616e-10,7.02001055478419e-09,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__","Other"
"ASV_13",-3.02653935929284,1.83144969259654e-11,1.80756121834528e-10,-10.0594282833472,0.000752684930860337,0.00517104322630024,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__dendrobii","Conserved Regular"
"ASV_14",0.334100712440211,0.554132093574245,0.676279490544912,1.08598506401326,0.03800779951715,0.114892148254699,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__","Early in both"
"ASV_15",5.4007782789316,8.36292783084256e-48,9.49192308800631e-46,-1.94505788331483,6.91344926407348e-15,3.65721466069487e-13,"k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__roseus","Other"
