"","Kansas_Early","Kansas_Regular","SouthDakota_Early","SouthDakota_Regular"
"Vertex",66,8,39,74
"Edge",161,4,78,129
"Average_degree",4.87878787878788,1,4,3.48648648648649
"Average_path_length",2.85073086298662,0.742865983134303,1.60435507986824,4.33682253648803
"Network_diameter",8,1,3,10
"Clustering_coefficient",0.453810623556582,NA,0.782234957020057,0.501945525291829
"Density",0.0750582750582751,0.142857142857143,0.105263157894737,0.0477600888559793
"Heterogeneity",0.558751335429417,0,0.615052415395802,0.659960192292004
"Centralization",0.0941724941724942,0,0.0789473684210526,0.0892262125138837
"Modularity",0.597587805636246,0.749565695913118,0.672621230989415,0.706499944235416
