"from","to","rho","p","q","edge_sign"
"ASV_19","ASV_21",0.876153846153846,9.53658307878413e-09,2.6502538745938e-06,"Positive"
"ASV_19","ASV_22",0.87,1.61413722388204e-08,4.46729083059394e-06,"Positive"
"ASV_21","ASV_22",0.903846153846154,5.97488281073311e-10,1.67079958398973e-07,"Positive"
"ASV_15","ASV_30",0.917692307692308,1.07147180017364e-10,3.00247604621366e-08,"Positive"
"ASV_26","ASV_33",0.67,0.00024837269726552,0.0321585621933918,"Positive"
"ASV_15","ASV_51",0.650769230769231,0.000427450887497516,0.0427150782676799,"Positive"
"ASV_23","ASV_51",0.79,2.64314920928044e-06,0.000683031903878713,"Positive"
"ASV_35","ASV_59",0.661547183446446,0.00031679072533275,0.0321585621933918,"Positive"
"ASV_35","ASV_60",1,0,0,"Positive"
"ASV_59","ASV_60",0.661547183446446,0.00031679072533275,0.0321585621933918,"Positive"
"ASV_7","ASV_62",-0.646153846153846,0.000484272539595931,0.0481073264952884,"Negative"
"ASV_19","ASV_65",0.868461538461539,1.83349500026964e-08,5.06917084807333e-06,"Positive"
"ASV_21","ASV_65",0.873846153846154,1.16542535621988e-08,3.23208495362956e-06,"Positive"
"ASV_22","ASV_65",0.891538461538462,2.24326202058478e-09,6.26648140622567e-07,"Positive"
"ASV_44","ASV_66",0.661547183446446,0.00031679072533275,0.0321585621933918,"Positive"
"ASV_59","ASV_66",0.721687836487032,4.66433315420289e-05,0.00694002724637873,"Positive"
"ASV_66","ASV_68",0.673456239919576,0.000224356587562813,0.0314837715059258,"Positive"
"ASV_61","ASV_73",0.831172523776006,2.66790228575786e-07,7.24944506862634e-05,"Positive"
"ASV_66","ASV_80",0.761197296513377,9.9366573746984e-06,0.00249121168408666,"Positive"
"ASV_76","ASV_80",0.678528347406514,0.000192789803223903,0.0275279075133043,"Positive"
"ASV_57","ASV_81",1,0,0,"Positive"
"ASV_35","ASV_86",0.661547183446446,0.00031679072533275,0.0321585621933918,"Positive"
"ASV_59","ASV_86",1,0,0,"Positive"
"ASV_60","ASV_86",0.661547183446446,0.00031679072533275,0.0321585621933918,"Positive"
"ASV_66","ASV_86",0.721687836487032,4.66433315420289e-05,0.00694002724637873,"Positive"
"ASV_19","ASV_98",0.735384615384615,2.81332908418364e-05,0.0068181663987867,"Positive"
"ASV_21","ASV_98",0.722307692307692,4.56171346083778e-05,0.00694002724637873,"Positive"
"ASV_22","ASV_98",0.786153846153846,3.19077665889012e-06,0.000823756256991064,"Positive"
"ASV_78","ASV_99",0.764150943396226,8.74931847061333e-06,0.00223307676574778,"Positive"
"ASV_21","ASV_103",0.647692307692308,0.000464643957661437,0.0462770587539655,"Positive"
