"name","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_1019","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","tabarestanensis",2.14351244523326e-05,65,1493.77629518621,0.099388379204893,8
"ASV_1092","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Cytospora","populina",4.28702489046651e-06,65,1493.77629518621,0.099388379204893,8
"ASV_127","Fungi","Basidiomycota","Pucciniomycetes","Platygloeales","Platygloeaceae","Insolibasidium","deformans",0.000130039755010818,65,1493.77629518621,0.099388379204893,8
"ASV_1306","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phlebiopsis","flavidoalba",7.14504148411086e-06,65,1493.77629518621,0.099388379204893,8
"ASV_1332","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","acetilerea",6.57343816538199e-05,65,1493.77629518621,0.099388379204893,8
"ASV_1380","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Gymnopus","foetidus",1.28610746713995e-05,65,1493.77629518621,0.099388379204893,8
"ASV_1487","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terrea",3.85832240141986e-05,65,1493.77629518621,0.099388379204893,8
"ASV_222","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA,4.28702489046651e-05,65,1493.77629518621,0.099388379204893,8
"ASV_257","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA,0.000105746613964841,65,1493.77629518621,0.099388379204893,8
"ASV_274","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps","spartinae",6.7163389950642e-05,65,1493.77629518621,0.099388379204893,8
"ASV_283","Fungi","Ascomycota","Leotiomycetes",NA,NA,NA,NA,1.42900829682217e-05,65,1493.77629518621,0.099388379204893,8
"ASV_352","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella",NA,4.71572737951316e-05,65,1493.77629518621,0.099388379204893,8
"ASV_366","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Dendryphion","europaeum",1.71480995618661e-05,65,1493.77629518621,0.099388379204893,8
"ASV_384","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Oxyporus","corticola",1.00030580777552e-05,65,1493.77629518621,0.099388379204893,8
"ASV_421","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","rhaphiolepidis",7.14504148411086e-06,65,1493.77629518621,0.099388379204893,8
"ASV_431","Fungi","Basidiomycota","Exobasidiomycetes","Entylomatales",NA,NA,NA,1.57190912650439e-05,65,1493.77629518621,0.099388379204893,8
"ASV_538","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,5.71603318728869e-06,65,1493.77629518621,0.099388379204893,8
"ASV_546","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","cinerea",1.14320663745774e-05,65,1493.77629518621,0.099388379204893,8
"ASV_561","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","rosigena",7.43084314347529e-05,65,1493.77629518621,0.099388379204893,8
"ASV_570","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","hollandica",2.57221493427991e-05,65,1493.77629518621,0.099388379204893,8
"ASV_612","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Blumeria","graminis",1.00030580777552e-05,65,1493.77629518621,0.099388379204893,8
"ASV_665","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","rubella",7.00214065442864e-05,65,1493.77629518621,0.099388379204893,8
"ASV_683","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","dichromosporum",1.57190912650439e-05,65,1493.77629518621,0.099388379204893,8
"ASV_693","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Fibricium",NA,1.14320663745774e-05,65,1493.77629518621,0.099388379204893,8
"ASV_705","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Dacryobolus","sudans",1.14320663745774e-05,65,1493.77629518621,0.099388379204893,8
"ASV_727","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,3.42961991237321e-05,65,1493.77629518621,0.099388379204893,8
"ASV_728","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium",NA,1.14320663745774e-05,65,1493.77629518621,0.099388379204893,8
