"from","to","rho","p","q","edge_sign"
"ASV_3","ASV_6",0.728937728937729,1.61545439807398e-05,0.00269891567676238,"Positive"
"ASV_16","ASV_25",0.64041514041514,0.000320483154804929,0.0264039304905488,"Positive"
"ASV_18","ASV_28",0.635531135531135,0.000367865435640269,0.0302087735150008,"Positive"
"ASV_28","ASV_29",0.647130647130647,0.000264102227336638,0.0221282323933073,"Positive"
"ASV_31","ASV_35",0.750763732016417,6.4474875316467e-06,0.0014580416660178,"Positive"
"ASV_24","ASV_44",0.713238375302495,2.96966860768855e-05,0.00354746435791252,"Positive"
"ASV_12","ASV_45",0.7002442002442,4.77445867890225e-05,0.00560759392060803,"Positive"
"ASV_12","ASV_47",0.722832722832723,2.05687046614944e-05,0.00269891567676238,"Positive"
"ASV_45","ASV_47",0.661782661782662,0.000170328768137828,0.014537436180553,"Positive"
"ASV_12","ASV_48",0.759926836963729,4.26308977763412e-06,0.000970161285336004,"Positive"
"ASV_45","ASV_48",0.847281770794768,2.4818677335503e-08,6.20948011129168e-06,"Positive"
"ASV_47","ASV_48",0.671350155806381,0.000126271679946832,0.0131273546249632,"Positive"
"ASV_45","ASV_49",0.695970695970696,5.55166358475745e-05,0.00648712147616307,"Positive"
"ASV_47","ASV_49",0.713675213675214,2.92134937194266e-05,0.00349140090299671,"Positive"
"ASV_16","ASV_53",0.645299145299145,0.000278540297104835,0.0232759628418995,"Positive"
"ASV_12","ASV_57",0.674404524122151,0.000114506049030183,0.0129472596633656,"Positive"
"ASV_15","ASV_57",0.743433248058567,8.86619358420049e-06,0.00199425969095205,"Positive"
"ASV_18","ASV_57",0.645693461953908,0.000275374608021739,0.0230267149388809,"Positive"
"ASV_28","ASV_57",0.667684913827456,0.000141789718825613,0.0131273546249632,"Positive"
"ASV_45","ASV_57",0.62675637839613,0.000468560473876334,0.0380188035049335,"Positive"
"ASV_47","ASV_57",0.656689187890682,0.000198906898847273,0.0169249059855863,"Positive"
"ASV_53","ASV_60",0.628860410628903,0.00044244412080463,0.0359925575261543,"Positive"
"ASV_30","ASV_61",0.624788989269857,0.000494189831260261,0.0399053928710463,"Positive"
"ASV_43","ASV_62",0.665147715805747,0.000153494525760411,0.0131273546249632,"Positive"
"ASV_25","ASV_66",0.65791093521699,0.000191692659578191,0.0163331360705934,"Positive"
"ASV_8","ASV_68",0.648962148962149,0.000250325673891272,0.0211428592248536,"Positive"
"ASV_16","ASV_68",0.703296703296703,4.28007240773631e-05,0.00507429498193684,"Positive"
"ASV_31","ASV_68",0.708002575595628,3.60671150960723e-05,0.00429418757526297,"Positive"
"ASV_35","ASV_68",0.725885225885226,1.82428742685481e-05,0.00269891567676238,"Positive"
"ASV_29","ASV_70",0.693528693528694,6.04445461025449e-05,0.00704408178772648,"Positive"
"ASV_45","ASV_70",0.671550671550671,0.000125467777962518,0.0131273546249632,"Positive"
"ASV_47","ASV_70",0.644688644688645,0.000283504612635044,0.0236593811263851,"Positive"
"ASV_57","ASV_70",0.697006849658854,5.35357708104645e-05,0.00626438207072982,"Positive"
"ASV_12","ASV_84",0.669210815307128,0.000135136004707714,0.0131273546249632,"Positive"
"ASV_28","ASV_84",0.692413380071426,6.28214717761644e-05,0.00731352929634676,"Positive"
"ASV_57","ASV_84",0.771651218937683,2.44378045977101e-06,0.000573240748203228,"Positive"
