"name","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_1000","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,2.85619851806853e-05,1,0,0.00169204737732657,1
"ASV_1002","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA,2.30453688302657e-05,12,1853.11525504785,0.0203045685279188,2
"ASV_1010","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Arrhenia",NA,3.36601263865317e-05,3,40.1695300403659,0.0050761421319797,3
"ASV_1011","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Sigarispora","coronillae",4.0696587602272e-05,1,0,0.00169204737732657,3
"ASV_1013","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","proliferata",3.58461495659358e-05,2,512.752437846336,0.00338409475465313,3
"ASV_1014","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,3.92527838153608e-05,1,0,0.00169204737732657,4
"ASV_1015","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","niemeijerarum",3.44919912432224e-05,3,0,0.0050761421319797,5
"ASV_1017","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces",NA,5.16740929720281e-06,53,601.681924425675,0.089678510998308,5
"ASV_102","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Davidiellomyces","australiensis",0.00228643011046705,3,556,0.0050761421319797,6
"ASV_1022","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sparticola","junci",6.70108457766771e-05,9,554.849724651004,0.0152284263959391,3
"ASV_1028","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae",NA,NA,3.93538771865494e-05,2,556,0.00338409475465313,3
"ASV_1038","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris",NA,4.2378927695112e-05,7,197.636996684986,0.011844331641286,2
"ASV_104","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora",NA,0.00136446990601578,6,35.3422279283552,0.0101522842639594,7
"ASV_1046","Fungi","Ascomycota",NA,NA,NA,NA,NA,1.0158573322466e-05,3,1110,0.0050761421319797,2
"ASV_1051","Fungi","Basidiomycota",NA,NA,NA,NA,NA,3.31619080438879e-05,8,1625.88244291652,0.0135363790186125,8
"ASV_1052","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Chaetosphaeronema",NA,3.75509485906056e-06,7,197.636996684986,0.011844331641286,2
"ASV_1053","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae",NA,NA,6.86796034065083e-05,12,570.934608758688,0.0203045685279188,2
"ASV_1056","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","cirsii",1.50394492923897e-05,5,974.195832765361,0.00846023688663283,9
"ASV_1057","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","caricicola",4.40138556380045e-05,2,99.4285407612391,0.00338409475465313,10
"ASV_1058","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia",NA,1.94975838368854e-05,2,0,0.00338409475465313,3
