"from","to","rho","p","q","edge_sign"
"ASV_3","ASV_6",0.669565217391304,0.000345520128303578,0.0405018915649716,"Positive"
"ASV_3","ASV_9",0.659130434782609,0.000460063174833936,0.040870604530939,"Positive"
"ASV_6","ASV_9",0.683478260869565,0.00023175396568198,0.0324893623475268,"Positive"
"ASV_6","ASV_15",0.826086956521739,6.62340857049415e-07,0.000248550793978614,"Positive"
"ASV_6","ASV_16",-0.73304347826087,4.61259882267306e-05,0.0100480105982096,"Negative"
"ASV_15","ASV_16",-0.660869565217391,0.000438955269285835,0.0405018915649716,"Negative"
"ASV_16","ASV_18",-0.665217391304348,0.000389816421526135,0.0405018915649716,"Negative"
"ASV_6","ASV_23",0.701739130434783,0.000132710271420144,0.0191574415041055,"Positive"
"ASV_15","ASV_23",0.781739130434783,6.45452722580764e-06,0.0021780240036479,"Positive"
"ASV_8","ASV_24",0.751304347826087,2.32406083546799e-05,0.00714975236417188,"Positive"
"ASV_23","ASV_24",-0.662608695652174,0.000418691439708851,0.0405018915649716,"Negative"
"ASV_6","ASV_30",0.786086956521739,5.2877074985247e-06,0.00179659630194948,"Positive"
"ASV_8","ASV_30",-0.736521739130435,4.06527779301946e-05,0.0100480105982096,"Negative"
"ASV_12","ASV_30",0.675652173913043,0.000290872339567372,0.0399648164880086,"Positive"
"ASV_15","ASV_30",0.68,0.000256592073030637,0.0356525484551614,"Positive"
"ASV_8","ASV_31",0.674494471261265,0.00030064514872441,0.0405018915649716,"Positive"
"ASV_23","ASV_32",-0.656147606331978,0.000498315741296773,0.0441210932278079,"Negative"
"ASV_13","ASV_33",0.798023875121013,2.98551019817239e-06,0.00105491595747205,"Positive"
"ASV_25","ASV_37",0.662608695652174,0.000418691439708851,0.0405018915649716,"Positive"
"ASV_30","ASV_37",0.698260869565217,0.000148036020747977,0.0211309777712132,"Positive"
"ASV_8","ASV_38",0.663761787198485,0.00040570738433976,0.0405018915649716,"Positive"
"ASV_8","ASV_44",0.690836281150003,0.000186007701470592,0.0263331469489555,"Positive"
"ASV_16","ASV_44",0.734504819781482,4.37522620990727e-05,0.0100480105982096,"Positive"
"ASV_31","ASV_44",0.671768176589271,0.000324793778716304,0.0405018915649716,"Positive"
"ASV_16","ASV_53",0.662888416425856,0.000415509094514821,0.0405018915649716,"Positive"
"ASV_38","ASV_53",0.685964912280702,0.00021530572947448,0.0302943330865836,"Positive"
"ASV_44","ASV_53",0.705263157894737,0.000118615444094861,0.017223711632747,"Positive"
"ASV_8","ASV_60",0.677868380548152,0.000272931952347566,0.0376498710985373,"Positive"
"ASV_24","ASV_60",0.699877094202312,0.000140732550322209,0.0201217790078228,"Positive"
"ASV_37","ASV_60",-0.65850071253249,0.000467919930557059,0.0415471696322246,"Negative"
"ASV_67","ASV_72",1,0,0,"Positive"
"ASV_23","ASV_73",-0.716779008508943,8.12546529762592e-05,0.0120679956497234,"Negative"
"ASV_24","ASV_73",0.734742296619497,4.33768431824522e-05,0.0100480105982096,"Positive"
"ASV_55","ASV_73",0.674718626591548,0.000298730965947236,0.0405018915649716,"Positive"
"ASV_33","ASV_74",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_17","ASV_79",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_38","ASV_81",0.671348899961177,0.000328653143678359,0.0405018915649716,"Positive"
"ASV_49","ASV_85",0.722765835742245,6.62672323272773e-05,0.0100480105982096,"Positive"
"ASV_41","ASV_88",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_79","ASV_89",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
"ASV_4","ASV_90",-0.696310699154224,0.000157287503556702,0.0224051858381174,"Negative"
"ASV_37","ASV_90",-0.710751361741998,9.92673008228806e-05,0.0146486169012763,"Negative"
"ASV_25","ASV_95",0.664057419481594,0.000402435267134793,0.0405018915649716,"Positive"
"ASV_30","ASV_95",0.667971313898971,0.00036122311371134,0.0405018915649716,"Positive"
"ASV_23","ASV_102",0.658986263019643,0.000461851784264056,0.0410189326758237,"Positive"
"ASV_24","ASV_110",0.680310769042293,0.000254282447644805,0.0353601275431555,"Positive"
"ASV_73","ASV_110",0.660668165465772,0.000441355904626572,0.0405018915649716,"Positive"
"ASV_9","ASV_114",0.838260869565217,3.16584769510797e-07,0.000127994145999227,"Positive"
"ASV_49","ASV_114",0.653913043478261,0.000528746929567614,0.0466716943602086,"Positive"
"ASV_25","ASV_117",0.671304347826087,0.000329065568737796,0.0405018915649716,"Positive"
"ASV_8","ASV_121",0.874186106343266,2.38076818259714e-08,9.72800496790713e-06,"Positive"
"ASV_24","ASV_121",0.770304977895627,1.06819189431562e-05,0.00355924635394353,"Positive"
"ASV_31","ASV_121",0.689022541168973,0.000196481861894471,0.0277249252464143,"Positive"
"ASV_44","ASV_121",0.706476833459371,0.000114074030371336,0.0166314425956192,"Positive"
"ASV_60","ASV_121",0.761140819964349,1.56780385236477e-05,0.00520385635751469,"Positive"
