"ASV","KS_LFC","KS_p","KS_padj","SD_LFC","SD_p","SD_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_7",-1.43177765371456,4.68761379822971e-15,6.86508601418158e-14,-1.36388823770566,3.50417318283769e-12,1.09041624336538e-10,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__"
"ASV_9",-8.95074085413291,1.88806088980731e-24,5.35737277482823e-23,-10.1241495366015,3.60167661732523e-35,9.52643465282523e-33,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__hordei"
"ASV_13",-3.02653935929284,1.83144969259654e-11,1.80756121834528e-10,-10.0594282833472,0.000752684930860337,0.00517104322630024,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__dendrobii"
"ASV_18",-9.63245648293563,1.91642817104236e-06,9.45715640927424e-06,-1.75238039680814,3.22756458280028e-12,1.06711354018834e-10,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__hordei"
"ASV_28",-7.30278856297105,1.19834321454383e-07,7.55621971392914e-07,-0.0175466616953975,0.941011634043219,0.978009044388611,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Tranzscheliella","s__hypodytes"
"ASV_38",-0.568414135989713,0.57771561120996,0.693870072723074,-0.261449559029912,0.714174940393967,0.882097064579718,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Gibberella","s__intricans"
"ASV_39",-1.14286190362314,0.0885968442017715,0.179566818158948,-9.48452538422064,0.00146264851714154,0.00850264907217447,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Bipolaris","s__drechsleri"
"ASV_43",-11.4926475678279,3.01441466692121e-09,2.31956654030887e-08,-10.2858520566168,0.000564068276319279,0.00403232592125539,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Pseudozyma","s__prolifica"
"ASV_55",-1.74833793768446,0.00330267493296196,0.00955041031569891,-1.30877819590739,0.0142205527068007,0.0545679242550053,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Aureobasidiaceae","g__Aureobasidium","s__leucospermi"
"ASV_82",-1.20412857981286,0.257359412155311,0.426427639118653,-2.91323525030742,0.327593381426632,0.60593321249891,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Nothophoma","s__variabilis"
"ASV_83",-0.455763264772371,0.518402550760971,0.651952238353133,-2.66827174496998,0.0150235209605454,0.0571758459577592,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__floriforme"
"ASV_95",-0.589303987031266,0.842879653640144,0.90039379471206,-3.57965090798119,1.36111758732189e-08,2.7693507834357e-07,"k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa","s__sorbi"
"ASV_96",-3.23688377786066,0.275924969673133,0.442649951348419,-0.419594815912394,0.235911343876277,0.474513691675098,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Apiosporaceae","g__Arthrinium","s__malaysianum"
"ASV_108",-0.668739887977833,0.533350414798129,0.661050401284596,-0.771815826678948,0.783222076405821,0.922771666856747,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__oryzae"
"ASV_175",-5.27825249139506,0.00777679956612061,0.0200374812957394,-1.00479441440323,0.730513807563632,0.894541213428614,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__","s__"
